ci_skipped,ns,nd,nf,entropy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,TFC,is_doc,is_build,is_meta,is_media,is_src,is_merge,FRM,COM,CFT,classif,prev_com_res,proj_recent_skip,comm_recent_skip,same_committer,is_fix,day_week,CM,commit_hash
1,1,1,1,0,1,1,1997,50,26.51900463,1,1436,14.66345938,872,1,1,0,0,0,0,0,0,0,0,2,0,1,1,1,1,2,4.299445666,85923349c0d2c2e1972e74efdd33a75102591732
0,2,2,2,0.602430802,20,14,614.5,39,113.8721238,2,1435,17.63014837,578.5,1,0,0,0,0,1,0,0,0,1,7,0,1,1,1,0,3,4.110085761,98d8fe062631a6779026fa64180b8cd5c762a098
0,1,1,1,0,5,3,39,5,27.88866898,1,1434,16.63014837,871,1,0,0,1,0,0,0,0,0,0,7,0,1,1,1,0,3,6.141809389,c9a82022ec88f700c9a5e08a59cdd815e4465531
0,2,2,2,0.918295834,3,3,1552,62,0.002303241,1,1433,24.31850544,793,2,0,0,0,0,0,0,0,0,0,7,0,2,2,1,0,4,6.141809389,50f4da2a46f846811df2845ee042d0ab59d490ca
0,2,2,5,2.073441492,26,9,862.4,66,32.52256713,4,1432,23.31850544,792,2,0,0,0,0,0,0,0,0,0,1,1,3,3,1,0,4,3.935484112,fe639ff0f6b11571b549cd86ba463926bfd9133a
1,2,2,3,1.5,4,4,881,50,36.82945602,3,1431,22.33953792,791,2,0,0,0,0,0,0,0,0,0,7,0,3,3,1,0,4,2.833165497,18a501ce36c0d833e8bedb7471c04572c4626ef6
0,2,2,2,0.503258335,8,1,334.5,4,200.0096586,2,1430,21.34322608,790,2,0,0,0,0,0,0,0,0,0,2,0,4,4,1,1,4,5.118632902,bdb3a72274f475c6754dba888f7595d2c5b54c2e
0,1,1,1,0,18,0,1979,50,5.0915625,1,1429,20.34332177,866,1,1,0,0,0,0,0,0,0,0,1,1,4,4,1,0,4,4.398476822,0dd5e6e9b09ae6cdc083a31434184c50fe9447d3
1,1,1,1,0,1,1,1979,50,0.044467593,1,1428,19.81604475,865,1,1,0,0,0,0,0,0,0,0,7,1,4,4,1,0,5,5.950290969,70233d72f0f4d0adf19f7016638286fcdd47c599
1,1,1,1,0,1,1,1979,50,1.267569444,1,1427,18.81707651,864,1,1,0,0,0,0,0,0,0,0,7,1,4,4,1,0,5,6.689218634,bd14304029e0aff3e04be118dd20afa58b3dff2f
1,1,1,1,0,96,96,642,2,0.280844907,1,1426,17.9126036,863,1,1,0,0,0,0,0,0,0,0,1,1,3,3,1,0,4,3.956048635,0891228e9cf51e7393b5dd863366ebdb7cc3d882
1,1,1,1,0,1,1,1979,50,0.000266204,1,1425,17.08114194,862,1,1,0,0,0,0,0,0,0,0,1,0,2,2,1,0,4,3.001635534,fd5fc41ecfac2df5e0f842c6929c3dae3875bfa9
